0,2+2?,1,2,3,4,4,1
1,4*6?,18,23,24,30,3,1
2,3+3?,4,6,9,5,2,1
3,Tworca Linuxa to?,Linus Torvalds,Mark Ubuntu,Dennis Ritchie,Alan Turing,1,1
4,Z ilu cyfr sklada sie numer pesel?,11,12,10,10,1,2
5,Obiektowy jezyk programowania to?,Java,C,C++,C#,1-3-4,3
7,Ktory operator sluzy do porownania dwoch wartosci zmiennych prymitywnych?,=,==,!=,=!,3,3
8,Jakiego slowa kluczowego uzywa sie przy dziedziczeniu po interfejsach?,implements,final,extends,finally,1,2
9,Wojciech Szczesny to:,Bramkarz,Kosmonauta,Pisarz,Astronom,1,1
10,Sluzy on do reprezentacji pojedynczych znakow:,int,float,string,char,4,1
